YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS PTDY TIDE
2014 6 30 4 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 4 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 4 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.7 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 4 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 5 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 28.0 999.0 999.0 0.4 999.0
2014 6 30 5 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 5 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 5 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 5 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 5 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 5 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 5 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 5 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 5 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 6 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 28.0 999.0 999.0 0.7 999.0
2014 6 30 6 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.1 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 6 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.1 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 6 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.1 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 6 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.1 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 6 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 6 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 6 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 6 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 7 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 1.1 999.0
2014 6 30 7 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 7 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 7 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 7 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 7 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 7 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 7 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 7 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 7 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 8 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.1 999.0 999.0 0.6 999.0
2014 6 30 8 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 8 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 8 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 8 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 8 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 8 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.6 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 8 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.7 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 8 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.7 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 8 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.8 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 9 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.7 999.0 28.1 999.0 999.0 0.7 999.0
2014 6 30 9 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.7 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 9 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.7 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 9 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.6 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 9 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.6 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 9 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.6 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 9 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.6 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 9 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.6 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 9 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.6 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 9 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.6 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 10 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.1 999.0 999.0 0.0 999.0
2014 6 30 10 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 10 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 10 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 10 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 10 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 10 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 10 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 10 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 10 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 11 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.0 999.0 999.0 0.0 999.0
2014 6 30 11 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 11 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 11 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 11 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 11 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 11 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 11 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 11 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 11 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 12 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 27.9 999.0 999.0 0.0 999.0
2014 6 30 12 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 12 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 12 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 12 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.1 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 12 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 12 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 12 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 12 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 12 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 13 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 27.8 999.0 999.0 -0.7 999.0
2014 6 30 13 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 13 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 13 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 13 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.7 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 13 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.7 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 13 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.7 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 13 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 13 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 13 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 14 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.8 999.0 999.0 -0.9 999.0
2014 6 30 14 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 14 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 14 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 14 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 14 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 14 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 14 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 14 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 14 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 15 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.4 999.0 27.9 999.0 999.0 -1.1 999.0
2014 6 30 15 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 15 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 15 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 15 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 15 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 15 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.4 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 15 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 15 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 15 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 16 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 27.9 999.0 999.0 -0.0 999.0
2014 6 30 16 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 16 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.7 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 16 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 16 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 16 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 16 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 16 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 16 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 16 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 17 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 28.0 999.0 999.0 0.5 999.0
2014 6 30 17 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.1 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 17 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.1 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 17 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 17 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 17 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 17 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 17 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 17 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 17 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.4 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 18 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.5 999.0 28.0 999.0 999.0 1.1 999.0
2014 6 30 18 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.6 999.0 28.0 999.0 999.0 999.0 999.0
2014 6 30 18 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.7 999.0 28.1 999.0 999.0 999.0 999.0
2014 6 30 18 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.7 999.0 28.0 999.0 999.0 999.0 999.0
