YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2014,9,20,7,6,999,999,999,999,999,999,999,1013,999,28.6,999,999,999,999
2014,9,20,7,12,999,999,999,999,999,999,999,1013.1,999,28.7,999,999,999,999
2014,9,20,7,18,999,999,999,999,999,999,999,1013.1,999,28.7,999,999,999,999
2014,9,20,7,24,999,999,999,999,999,999,999,1013.1,999,28.6,999,999,999,999
2014,9,20,7,30,999,999,999,999,999,999,999,1013.1,999,28.6,999,999,999,999
2014,9,20,7,36,999,999,999,999,999,999,999,1013.1,999,28.6,999,999,999,999
2014,9,20,7,42,999,999,999,999,999,999,999,1013.2,999,28.6,999,999,999,999
2014,9,20,7,48,999,999,999,999,999,999,999,1013.2,999,28.6,999,999,999,999
2014,9,20,7,54,999,999,999,999,999,999,999,1013.2,999,28.6,999,999,999,999
2014,9,20,8,0,999,999,999,999,999,999,999,1013.2,999,28.6,999,999,1.5,999
2014,9,20,8,6,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,8,12,999,999,999,999,999,999,999,1013.2,999,28.6,999,999,999,999
2014,9,20,8,18,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,8,24,999,999,999,999,999,999,999,1013.3,999,28.7,999,999,999,999
2014,9,20,8,30,999,999,999,999,999,999,999,1013.2,999,28.7,999,999,999,999
2014,9,20,8,36,999,999,999,999,999,999,999,1013.2,999,28.7,999,999,999,999
2014,9,20,8,42,999,999,999,999,999,999,999,1013.2,999,28.7,999,999,999,999
2014,9,20,8,48,999,999,999,999,999,999,999,1013.3,999,28.7,999,999,999,999
2014,9,20,8,54,999,999,999,999,999,999,999,1013.4,999,28.7,999,999,999,999
2014,9,20,9,0,999,999,999,999,999,999,999,1013.4,999,28.7,999,999,0.9,999
2014,9,20,9,6,999,999,999,999,999,999,999,1013.3,999,28.7,999,999,999,999
2014,9,20,9,12,999,999,999,999,999,999,999,1013.3,999,28.7,999,999,999,999
2014,9,20,9,18,999,999,999,999,999,999,999,1013.3,999,28.7,999,999,999,999
2014,9,20,9,24,999,999,999,999,999,999,999,1013.3,999,28.7,999,999,999,999
2014,9,20,9,30,999,999,999,999,999,999,999,1013.2,999,28.7,999,999,999,999
2014,9,20,9,36,999,999,999,999,999,999,999,1013.3,999,28.7,999,999,999,999
2014,9,20,9,42,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,9,48,999,999,999,999,999,999,999,1013.4,999,28.6,999,999,999,999
2014,9,20,9,54,999,999,999,999,999,999,999,1013.4,999,28.6,999,999,999,999
2014,9,20,10,0,999,999,999,999,999,999,999,1013.4,999,28.6,999,999,0.4,999
2014,9,20,10,6,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,10,12,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,10,18,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,10,24,999,999,999,999,999,999,999,1013.3,999,28.7,999,999,999,999
2014,9,20,10,30,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,10,36,999,999,999,999,999,999,999,1013.3,999,28.5,999,999,999,999
2014,9,20,10,42,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,10,48,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,10,54,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,999,999
2014,9,20,11,0,999,999,999,999,999,999,999,1013.3,999,28.6,999,999,0,999
2014,9,20,11,6,999,999,999,999,999,999,999,1013.3,999,28.7,999,999,999,999
2014,9,20,11,12,999,999,999,999,999,999,999,1013.2,999,28.6,999,999,999,999
2014,9,20,11,18,999,999,999,999,999,999,999,1013.2,999,28.6,999,999,999,999
2014,9,20,11,24,999,999,999,999,999,999,999,1013,999,28.6,999,999,999,999
2014,9,20,11,30,999,999,999,999,999,999,999,1012.9,999,28.6,999,999,999,999
2014,9,20,11,36,999,999,999,999,999,999,999,1012.8,999,28.6,999,999,999,999
2014,9,20,11,42,999,999,999,999,999,999,999,1012.7,999,28.6,999,999,999,999
2014,9,20,11,48,999,999,999,999,999,999,999,1012.6,999,28.6,999,999,999,999
2014,9,20,11,54,999,999,999,999,999,999,999,1012.6,999,28.6,999,999,999,999
2014,9,20,12,0,999,999,999,999,999,999,999,1012.6,999,28.6,999,999,-0.8,999
2014,9,20,12,6,999,999,999,999,999,999,999,1012.5,999,28.6,999,999,999,999
2014,9,20,12,12,999,999,999,999,999,999,999,1012.4,999,28.6,999,999,999,999
