YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2014,10,24,0,0,999,999,999,999,999,999,999,1011.6,27.8,29,999,999,-1.2,999
2014,10,24,0,6,999,999,999,999,999,999,999,1011.6,27.8,29.1,999,999,999,999
2014,10,24,0,12,999,999,999,999,999,999,999,1011.6,27.9,29.1,999,999,999,999
2014,10,24,0,18,999,999,999,999,999,999,999,1011.5,28.1,29.1,999,999,999,999
2014,10,24,0,24,999,999,999,999,999,999,999,1011.4,28,29.1,999,999,999,999
2014,10,24,0,30,999,999,999,999,999,999,999,1011.4,27.8,29,999,999,999,999
2014,10,24,0,36,999,999,999,999,999,999,999,1011.3,27.8,29.1,999,999,999,999
2014,10,24,0,42,999,999,999,999,999,999,999,1011.3,28,29.1,999,999,999,999
2014,10,24,0,48,999,999,999,999,999,999,999,1011.3,27.9,29.1,999,999,999,999
2014,10,24,0,54,999,999,999,999,999,999,999,1011.4,27.8,29.1,999,999,999,999
2014,10,24,1,0,999,999,999,999,999,999,999,1011.2,27.9,29.1,999,999,-1.4,999
2014,10,24,1,6,999,999,999,999,999,999,999,1011.2,27.9,29.1,999,999,999,999
2014,10,24,1,12,999,999,999,999,999,999,999,1011.1,27.7,29.1,999,999,999,999
2014,10,24,1,18,999,999,999,999,999,999,999,1011,27.8,29.1,999,999,999,999
2014,10,24,1,24,999,999,999,999,999,999,999,1011,27.7,29.1,999,999,999,999
2014,10,24,1,30,999,999,999,999,999,999,999,1010.8,27.8,29.1,999,999,999,999
2014,10,24,1,36,999,999,999,999,999,999,999,1010.7,27.9,29,999,999,999,999
2014,10,24,1,42,999,999,999,999,999,999,999,1010.7,27.8,29,999,999,999,999
2014,10,24,1,48,999,999,999,999,999,999,999,1010.8,27.9,29,999,999,999,999
2014,10,24,1,54,999,999,999,999,999,999,999,1010.9,27.8,29,999,999,999,999
2014,10,24,2,0,999,999,999,999,999,999,999,1010.9,27.8,29.1,999,999,-1.3,999
2014,10,24,2,6,999,999,999,999,999,999,999,1010.9,27.7,29.1,999,999,999,999
2014,10,24,2,12,999,999,999,999,999,999,999,1010.9,28,29.1,999,999,999,999
2014,10,24,2,18,999,999,999,999,999,999,999,1010.8,27.9,29.1,999,999,999,999
2014,10,24,2,24,999,999,999,999,999,999,999,1010.9,27.8,29.1,999,999,999,999
2014,10,24,2,30,999,999,999,999,999,999,999,1010.8,27.7,29.1,999,999,999,999
2014,10,24,2,36,999,999,999,999,999,999,999,1010.8,27.8,29.1,999,999,999,999
2014,10,24,2,42,999,999,999,999,999,999,999,1010.9,27.7,29.1,999,999,999,999
2014,10,24,2,48,999,999,999,999,999,999,999,1010.9,27.7,29.1,999,999,999,999
2014,10,24,2,54,999,999,999,999,999,999,999,1010.9,27.8,29.1,999,999,999,999
2014,10,24,3,0,999,999,999,999,999,999,999,1010.9,27.7,29.1,999,999,-0.7,999
2014,10,24,3,6,999,999,999,999,999,999,999,1010.9,27.8,29.1,999,999,999,999
2014,10,24,3,12,999,999,999,999,999,999,999,1010.9,27.8,29.1,999,999,999,999
2014,10,24,3,18,999,999,999,999,999,999,999,1010.9,27.9,29.1,999,999,999,999
2014,10,24,3,24,999,999,999,999,999,999,999,1010.9,28,29.1,999,999,999,999
2014,10,24,3,30,999,999,999,999,999,999,999,1010.8,28,29.1,999,999,999,999
2014,10,24,3,36,999,999,999,999,999,999,999,1010.8,27.9,29.1,999,999,999,999
2014,10,24,3,42,999,999,999,999,999,999,999,1010.9,27.8,29.1,999,999,999,999
2014,10,24,3,48,999,999,999,999,999,999,999,1010.9,27.8,29.1,999,999,999,999
2014,10,24,3,54,999,999,999,999,999,999,999,1010.9,27.8,29.1,999,999,999,999
2014,10,24,4,0,999,999,999,999,999,999,999,1010.9,27.8,29.1,999,999,-0.3,999
2014,10,24,4,6,999,999,999,999,999,999,999,1010.8,27.9,29.1,999,999,999,999
2014,10,24,4,12,999,999,999,999,999,999,999,1010.9,27.9,29.1,999,999,999,999
2014,10,24,4,18,999,999,999,999,999,999,999,1010.9,28.1,29.2,999,999,999,999
2014,10,24,4,24,999,999,999,999,999,999,999,1011,28,29.1,999,999,999,999
2014,10,24,4,30,999,999,999,999,999,999,999,1011.1,27.8,29.2,999,999,999,999
2014,10,24,4,36,999,999,999,999,999,999,999,1011.2,27.7,29.1,999,999,999,999
2014,10,24,4,42,999,999,999,999,999,999,999,1011.2,27.6,29.1,999,999,999,999
2014,10,24,4,48,999,999,999,999,999,999,999,1011.2,27.6,29,999,999,999,999
2014,10,24,4,54,999,999,999,999,999,999,999,1011.3,27.5,29,999,999,999,999
2014,10,24,5,0,999,999,999,999,999,999,999,1011.3,27.5,29.1,999,999,0.4,999
2014,10,24,5,6,999,999,999,999,999,999,999,1011.4,27.5,29.1,999,999,999,999
2014,10,24,5,12,999,999,999,999,999,999,999,1011.5,27.5,29.1,999,999,999,999
2014,10,24,5,18,999,999,999,999,999,999,999,1011.5,27.5,29.1,999,999,999,999
2014,10,24,5,24,999,999,999,999,999,999,999,1011.6,27.4,29.1,999,999,999,999
2014,10,24,5,30,999,999,999,999,999,999,999,1011.6,27.4,29.1,999,999,999,999
2014,10,24,5,36,999,999,999,999,999,999,999,1011.6,27.5,29.1,999,999,999,999
2014,10,24,5,42,999,999,999,999,999,999,999,1011.6,27.4,29.1,999,999,999,999
2014,10,24,5,48,999,999,999,999,999,999,999,1011.6,27.4,29,999,999,999,999
2014,10,24,5,54,999,999,999,999,999,999,999,1011.7,27.4,29.1,999,999,999,999
2014,10,24,6,0,999,999,999,999,999,999,999,1011.7,27.4,29.1,999,999,0.8,999
2014,10,24,6,6,999,999,999,999,999,999,999,1011.7,27.3,29.1,999,999,999,999
2014,10,24,6,12,999,999,999,999,999,999,999,1011.7,27.3,29.1,999,999,999,999
2014,10,24,6,18,999,999,999,999,999,999,999,1011.8,27.4,29,999,999,999,999
2014,10,24,6,24,999,999,999,999,999,999,999,1011.8,27.3,29,999,999,999,999
2014,10,24,6,30,999,999,999,999,999,999,999,1011.9,27.2,28.9,999,999,999,999
2014,10,24,6,36,999,999,999,999,999,999,999,1012,27.3,29,999,999,999,999
2014,10,24,6,42,999,999,999,999,999,999,999,1012.1,27.2,29,999,999,999,999
2014,10,24,6,48,999,999,999,999,999,999,999,1012.2,27.2,29,999,999,999,999
2014,10,24,6,54,999,999,999,999,999,999,999,1012.4,27.4,29,999,999,999,999
2014,10,24,7,0,999,999,999,999,999,999,999,1012.5,27.4,29,999,999,1.6,999
2014,10,24,7,6,999,999,999,999,999,999,999,1012.6,27.2,29.1,999,999,999,999
2014,10,24,7,12,999,999,999,999,999,999,999,1012.7,27.2,29,999,999,999,999
2014,10,24,7,18,999,999,999,999,999,999,999,1012.7,27.2,29,999,999,999,999
2014,10,24,7,24,999,999,999,999,999,999,999,1012.7,27.1,29,999,999,999,999
2014,10,24,7,30,999,999,999,999,999,999,999,1012.7,27.2,29,999,999,999,999
2014,10,24,7,36,999,999,999,999,999,999,999,1012.8,27.2,29,999,999,999,999
2014,10,24,7,42,999,999,999,999,999,999,999,1012.9,27.2,29,999,999,999,999
2014,10,24,7,48,999,999,999,999,999,999,999,1012.9,27.1,29,999,999,999,999
2014,10,24,7,54,999,999,999,999,999,999,999,1012.9,27,29.1,999,999,999,999
2014,10,24,8,0,999,999,999,999,999,999,999,1012.9,27.2,29.1,999,999,1.6,999
2014,10,24,8,6,999,999,999,999,999,999,999,1013,26.9,29,999,999,999,999
