"Date Time, GMT-11:00",Timu1daily
2012-08-21,0.0
2012-08-22,2.794
2012-08-23,0.0
2012-08-24,41.147999999999996
2012-08-25,0.0
2012-08-26,14.731999999999989
2012-08-27,0.762
2012-08-28,14.985999999999988
2012-08-29,7.873999999999999
2012-08-30,1.27
2012-08-31,5.079999999999998
2012-09-01,62.99199999999993
2012-09-02,95.50400000000012
2012-09-03,1.016
2012-09-04,0.0
2012-09-05,3.81
2012-09-06,0.0
2012-09-07,0.508
2012-09-08,4.064
2012-09-09,0.0
2012-09-10,4.571999999999999
2012-09-11,1.27
2012-09-12,4.064
2012-09-13,2.032
2012-09-14,3.556
2012-09-15,0.762
2012-09-16,24.892000000000024
2012-09-17,0.0
2012-09-18,0.0
2012-09-19,3.556
2012-09-20,0.254
2012-09-21,18.541999999999998
2012-09-22,2.032
2012-09-23,0.0
2012-09-24,0.0
2012-09-25,0.0
2012-09-26,6.603999999999999
2012-09-27,3.302
2012-09-28,8.636
2012-09-29,25.90800000000004
2012-09-30,9.397999999999993
2012-10-01,1.27
2012-10-02,0.0
2012-10-03,2.286
2012-10-04,0.0
2012-10-05,0.254
2012-10-06,2.032
2012-10-07,5.333999999999998
2012-10-08,17.526000000000003
2012-10-09,9.397999999999994
2012-10-10,0.0
2012-10-11,0.0
2012-10-12,0.0
2012-10-13,20.574
2012-10-14,1.016
2012-10-15,0.0
2012-10-16,29.46400000000003
2012-10-17,10.413999999999998
2012-10-18,0.0
2012-10-19,0.0
2012-10-20,21.336000000000002
2012-10-21,17.272
2012-10-22,1.524
2012-10-23,4.825999999999999
2012-10-24,4.571999999999999
2012-10-25,4.571999999999999
2012-10-26,7.873999999999997
2012-10-27,9.143999999999991
2012-10-28,0.0
2012-10-29,5.079999999999998
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,77.21600000000018
2012-11-02,0.0
2012-11-03,0.0
2012-11-04,3.302
2012-11-05,127.76200000000041
2012-11-06,7.873999999999997
2012-11-07,0.0
2012-11-08,30.987999999999996
2012-11-09,21.082
2012-11-10,33.02000000000001
2012-11-11,2.032
2012-11-12,0.0
2012-11-13,0.508
2012-11-14,17.01799999999999
2012-11-15,33.527999999999984
2012-11-16,37.59200000000001
2012-11-17,33.019999999999996
2012-11-18,2.54
2012-11-19,3.302
2012-11-20,3.81
2012-11-21,0.0
2012-11-22,1.016
2012-11-23,0.0
2012-11-24,4.064
2012-11-25,5.079999999999998
2012-11-26,0.0
2012-11-27,0.0
2012-11-28,0.0
2012-11-29,3.81
2012-11-30,13.715999999999996
2012-12-01,1.27
2012-12-02,60.19799999999994
2012-12-03,7.111999999999998
2012-12-04,24.384000000000007
2012-12-05,14.732
2012-12-06,7.619999999999999
2012-12-07,5.841999999999997
2012-12-08,5.079999999999998
2012-12-09,9.905999999999999
2012-12-10,4.318
2012-12-11,21.336000000000006
2012-12-12,77.216
2012-12-13,41.401999999999994
2012-12-14,24.63799999999999
2012-12-15,7.1119999999999965
2012-12-16,1.778
2012-12-17,20.320000000000007
2012-12-18,0.254
2012-12-19,5.8420000000000005
2012-12-20,14.223999999999993
2012-12-21,0.0
2012-12-22,6.096
2012-12-23,0.254
2012-12-24,0.254
2012-12-25,5.08
2012-12-26,7.365999999999998
2012-12-27,0.508
2012-12-28,2.286
2012-12-29,9.651999999999992
2012-12-30,0.0
2012-12-31,6.603999999999997
2013-01-01,27.940000000000037
2013-01-02,1.27
2013-01-03,15.493999999999987
2013-01-04,6.349999999999998
2013-01-05,25.654000000000018
2013-01-06,0.762
2013-01-07,0.508
2013-01-08,0.0
2013-01-09,70.86600000000008
2013-01-10,48.00599999999992
2013-01-11,51.05399999999991
2013-01-12,41.14799999999996
2013-01-13,11.683999999999996
2013-01-14,25.400000000000027
2013-01-15,15.747999999999992
2013-01-16,12.699999999999996
2013-01-17,32.512
2013-01-18,2.54
2013-01-19,7.619999999999996
2013-01-20,4.825999999999999
2013-01-21,8.127999999999995
2013-01-22,8.635999999999996
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,6.603999999999997
2013-01-26,0.0
2013-01-27,8.127999999999997
2013-01-28,25.908000000000026
2013-01-29,60.451999999999956
2013-01-30,19.304000000000006
2013-01-31,38.35399999999995
2013-02-01,2.286
2013-02-02,1.016
2013-02-03,13.715999999999989
2013-02-04,21.082000000000004
2013-02-05,24.13000000000002
2013-02-06,3.81
2013-02-07,7.8739999999999934
2013-02-08,70.61200000000002
2013-02-09,0.254
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-23,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,5.334
2013-03-12,0.254
2013-03-13,1.27
2013-03-14,0.508
2013-03-15,2.794
2013-03-16,14.224
2013-03-17,0.508
2013-03-18,0.0
2013-03-19,5.333999999999998
2013-03-20,6.604000000000001
2013-03-21,17.780000000000012
2013-03-22,2.032
2013-03-23,17.272000000000002
2013-03-24,0.0
2013-03-25,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-20,0.254
2013-04-21,1.016
2013-04-22,1.27
2013-04-23,97.79000000000005
2013-04-24,0.254
2013-05-01,51.05399999999992
2013-05-02,4.318
2013-05-03,4.825999999999999
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,3.048
2013-05-08,1.016
2013-05-09,0.0
2013-05-10,7.365999999999994
2013-05-11,34.28999999999999
2013-05-12,9.397999999999996
2013-05-13,1.778
2013-05-14,5.587999999999999
2013-05-15,0.508
2013-05-16,1.524
2013-05-17,0.254
2013-05-18,6.0959999999999965
2013-05-19,12.699999999999996
2013-05-20,0.508
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,4.8260000000000005
2013-05-24,2.794
2013-05-25,2.54
2013-05-26,5.079999999999998
2013-05-27,2.286
2013-05-28,4.064
2013-05-29,0.508
2013-05-30,13.715999999999998
2013-05-31,0.762
2013-06-01,1.778
2013-06-02,1.778
2013-06-03,0.0
2013-06-04,6.603999999999999
2013-06-05,177.03799999999995
