,FPmonthly
2012-02-01,307.0299999999999
2012-03-01,304.0599999999998
2012-07-01,40.32000000000001
2012-08-01,33.23
2013-02-01,247.93999999999986
2013-03-01,286.7799999999998
2013-04-01,395.4699999999996
2013-05-01,118.71000000000011
2013-06-01,231.15
2013-07-01,84.43000000000002
2014-02-01,108.60000000000004
