,Area(m2),ManningQ(L/s),ManningV(m/s),Q(L/s),V(m/s),stage(cm)
2012-01-07 10:45:00,0.1829687500152225,95.54020565521915,0.5221667943147148,35.580625000883515,0.15933333333333335,7.064220183486217
2012-01-19 09:58:00,0.424815,254.8931846210442,0.600009850455008,126.65964,0.16454545454545455,
2012-01-19 14:24:00,0.5177790000000001,332.3328280253581,0.6418430025654922,150.84552,0.15916666666666668,
2012-01-19 16:49:00,0.6377940000000001,493.3815360313582,0.773575066606707,399.28799999999995,0.3790909090909091,
2012-01-20 12:31:00,0.370713,216.77581570455573,0.5847537467112179,66.14922,0.10181818181818182,
2012-01-25 13:20:00,0.6336030000000001,485.838735695916,0.7667873032418027,317.77686000000006,0.2963636363636364,
2012-01-25 13:29:00,0.6035039999999998,449.94390924763974,0.7455524888776874,388.62,0.3772727272727273,
2012-01-25 18:36:00,0.413766,259.95047689872604,0.6282548031948638,153.39822,0.23727272727272727,
2012-03-21 14:03:00,0.315849,211.0121761004904,0.668079291371796,144.19326,0.24153846153846154,
2012-03-21 14:23:00,0.305181,200.53036825697498,0.657086673996661,134.15391,0.22923076923076924,
2012-03-21 14:45:00,0.267462,160.01869789895912,0.5982857299315758,102.45089999999999,0.1946153846153846,10.122324159021355
2013-04-17 08:10:00,0.569976,303.1024345154648,0.5317810478256361,321.62496,0.46444444444444444,
2013-04-17 08:15:00,0.7231379999999998,446.8278149006508,0.6179011681043604,354.96246,0.33888888888888885,28.593272171253894
2013-04-18 16:00:00,0.3970019999999999,184.4501515828524,0.46460761301669123,97.33026000000001,0.18352941176470589,17.29867482161063
2013-04-23 18:15:00,1.2390119999999998,1078.5602033910811,0.8705002077389736,1357.05342,0.9205882352941177,44.026503567788
2013-04-30 16:55:00,0.8648699999999997,595.5291890609398,0.6885765364285268,619.7803200000002,0.6682352941176471,
