month	day	year	mm precip
04	14	2009	0.0
04	15	2009	5450.3
04	16	2009	6.1
04	17	2009	0.0
04	18	2009	0.0
04	19	2009	2160.9
04	20	2009	1320.2
04	21	2009	234.7
04	22	2009	114.6
04	23	2009	0.5
04	24	2009	0.0
04	25	2009	0.0
04	26	2009	4698.0
04	27	2009	712.7
04	28	2009	8953.9
04	29	2009	3518.7
04	30	2009	3.0
05	01	2009	8.3
05	02	2009	0.8
05	03	2009	0.0
05	04	2009	0.0
05	05	2009	11330.5
05	06	2009	8.1
05	07	2009	12668.7
05	08	2009	40441.3
05	09	2009	29370.4
05	10	2009	23952.5
05	11	2009	54380.1
05	12	2009	40.4
05	13	2009	1227.9
05	14	2009	4682.3
05	15	2009	32404.3
05	16	2009	1547.5
05	17	2009	9155.2
05	18	2009	2879.1
05	19	2009	2377.8
05	20	2009	19.3
05	21	2009	280.4
05	22	2009	7579.5
05	23	2009	1435.5
05	24	2009	3845.4
05	25	2009	3.3
05	26	2009	264.6
05	27	2009	0.3
05	28	2009	0.0
05	29	2009	0.0
05	30	2009	3768.1
05	31	2009	3331.7
06	01	2009	2.5
06	02	2009	5152.0
06	03	2009	3142.5
06	04	2009	4714.8
06	05	2009	8.6
06	06	2009	0.0
06	07	2009	2118.7
06	08	2009	2.0
06	09	2009	0.0
06	10	2009	0.0
06	11	2009	0.0
06	12	2009	0.0
06	13	2009	0.0
06	14	2009	0.0
06	15	2009	0.0
06	16	2009	0.0
06	17	2009	0.0
06	18	2009	0.0
06	19	2009	11744.6
06	20	2009	4064.4
06	21	2009	2139.2
06	22	2009	1.5
06	23	2009	1082.2
06	24	2009	2193.3
06	25	2009	690.1
06	26	2009	6226.9
06	27	2009	614.1
06	28	2009	126.1
06	29	2009	0.5
06	30	2009	0.0
07	01	2009	78.7
07	02	2009	0.5
07	03	2009	2690.3
07	04	2009	39.6
07	05	2009	0.3
07	06	2009	0.0
07	07	2009	0.0
07	08	2009	0.0
07	09	2009	0.0
07	10	2009	339.3
07	11	2009	1123.8
07	12	2009	502.4
07	13	2009	0.8
07	14	2009	0.0
07	15	2009	0.0
07	16	2009	5920.9
07	17	2009	2817.8
07	18	2009	2.8
07	19	2009	0.0
07	20	2009	129.9
07	21	2009	20076.2
07	22	2009	6684.8
07	23	2009	5.8
07	24	2009	55.2
07	25	2009	4284.6
07	26	2009	92.5
07	27	2009	9697.6
07	28	2009	20.1
07	29	2009	1645.7
07	30	2009	1304.3
07	31	2009	3699.0
08	01	2009	574.4
08	02	2009	0.5
08	03	2009	0.0
08	04	2009	0.0
08	05	2009	1297.7
08	06	2009	5983.6
08	07	2009	4755.1
08	08	2009	2125.4
08	09	2009	1.5
08	10	2009	0.0
08	11	2009	1112.5
08	12	2009	2896.5
08	13	2009	281.8
08	14	2009	0.0
08	15	2009	898.4
08	16	2009	68456.1
08	17	2009	67.8
08	18	2009	1461.2
08	19	2009	4359.5
08	20	2009	12821.8
08	21	2009	432.7
08	22	2009	0.3
08	23	2009	0.0
08	24	2009	19836.0
08	25	2009	5522.6
08	26	2009	494.5
