,Man_n,Q,area,r,stage,vel,wp
2014-12-29 13:00:00,0.075,0.001,0.010256519999999977,0.005606555269284221,0.01,0.053226690838793424,1.8293799859943964
2013-06-30 16:30:00,0.075,0.01,0.06405371999999987,0.026228157587068677,0.04,0.14888259076658056,2.4421738273976366
2012-04-02 09:00:00,0.075,0.015,0.08792717999999983,0.031936882815587236,0.05,0.16976978986899466,2.7531547304637307
2012-01-11 23:15:00,0.075,0.02,0.11470385999999978,0.03400519795977412,0.06,0.1770226887645485,3.373127253535968
2012-01-07 10:45:00,0.075,0.027,0.14568677999999985,0.03647845305185968,0.07,0.1855053061132069,3.9937762654815403
2012-01-07 12:30:00,0.075,0.039,0.18073877999999982,0.04512234832070712,0.08,0.21376004083258654,4.005526900226886
2012-01-07 22:30:00,0.075,0.052,0.21579077999999977,0.053702654336283205,0.09,0.2400652111560586,4.018251661244325
2012-01-08 11:30:00,0.075,0.064,0.2522905799999998,0.05818042831615613,0.1,0.2532308837846051,4.336347931799966
2012-01-08 11:15:00,0.075,0.082,0.2929508999999998,0.06737262442877849,0.11,0.27924647827843657,4.348218619710837
2012-01-08 15:00:00,0.075,0.102,0.33409889999999975,0.0766267282355543,0.12,0.30426517652354,4.360083063614088
2012-01-09 18:00:00,0.075,0.119,0.3780967799999997,0.08087357709610375,0.13,0.3154059121464339,4.675158359209207
2012-01-19 00:45:00,0.075,0.141,0.4238129699999997,0.08760404033680912,0.14,0.33267090444185654,4.837824469859795
2012-01-19 01:00:00,0.075,0.164,0.4708969499999996,0.09416698098081154,0.15,0.34908497708372876,5.000658883775349
2012-01-19 06:30:00,0.075,0.192,0.5196843809999998,0.102742011201024,0.16,0.3699679500471486,5.05814880325041
2012-01-19 01:15:00,0.075,0.223,0.5689095809999998,0.11203090004685433,0.17,0.3919439315295429,5.078148803250412
2012-01-19 05:00:00,0.075,0.255,0.6181347809999995,0.12124690840838094,0.18,0.41315452187215296,5.098148803250411
2012-01-19 01:30:00,0.075,0.289,0.6673599809999996,0.13039089066268952,0.19,0.4336741765395777,5.118148803250411
2012-01-19 04:00:00,0.075,0.325,0.7165851809999995,0.1394636878843768,0.2,0.45356495529720897,5.13814880325041
2012-01-19 03:45:00,0.075,0.362,0.7658103809999995,0.14846612810344353,0.21,0.4728793140013071,5.158148803250412
2012-01-19 03:15:00,0.075,0.401,0.8150355809999996,0.15739902655721058,0.22,0.49166212742189097,5.178148803250411
2012-01-19 03:00:00,0.075,0.441,0.8642607809999996,0.1662631859364195,0.23,0.5099521886598866,5.198148803250411
2012-01-19 01:45:00,0.075,0.482,0.9134859809999994,0.17505939662567394,0.24,0.5277833427632505,5.21814880325041
2012-01-19 02:45:00,0.075,0.525,0.9627111809999995,0.1837884369383725,0.25,0.5451853587430843,5.238148803250411
2012-01-19 02:00:00,0.075,0.569,1.0119363809999997,0.1924510733462801,0.26,0.5621846106910325,5.258148803250411
2012-01-25 05:45:00,0.075,0.614,1.0611615809999997,0.2010480607038799,0.27,0.5788046170766388,5.278148803250411
2012-02-06 16:15:00,0.075,0.661,1.110386781,0.20958014246764428,0.28,0.5950664729907493,5.2981488032504105
2012-02-06 19:30:00,0.075,0.709,1.1596119809999994,0.21804805091035692,0.29,0.6109892004123824,5.318148803250411
2012-01-25 05:30:00,0.075,0.757,1.2088371809999996,0.22645250733061914,0.3,0.6265900348849062,5.338148803250411
2012-02-06 19:00:00,0.075,0.808,1.2580623809999993,0.2347942222576614,0.31,0.6418846622813644,5.358148803250411
2012-01-25 05:15:00,0.075,0.859,1.3072875809999998,0.24307389565158735,0.32,0.6568874159745431,5.378148803250411
2012-02-06 17:00:00,0.075,0.911,1.3565127809999997,0.25129221709916494,0.33,0.6716114422861253,5.398148803250411
2012-02-06 17:15:00,0.075,0.964,1.4057379809999995,0.2594498660052822,0.34,0.6860688402935224,5.4181488032504115
2012-01-25 04:45:00,0.075,1.019,1.4549631809999997,0.2675475117801779,0.35,0.7002707807353595,5.438148803250411
2012-01-25 04:30:00,0.075,1.074,1.5041883809999994,0.2755858140225551,0.36,0.7142276077486931,5.458148803250411
2012-02-06 18:00:00,0.075,1.131,1.5534135809999994,0.28356542269868523,0.37,0.7279489264034508,5.478148803250411
2012-02-06 17:45:00,0.075,1.188,1.6026387809999998,0.29148697831760156,0.38,0.7414436784091741,5.4981488032504116
2012-03-25 09:00:00,0.075,1.247,1.6518639809999995,0.2993511121024836,0.39,0.7547202079108701,5.518148803250411
2012-05-22 21:15:00,0.075,1.306,1.7010891809999993,0.3071584461583279,0.4,0.7677863189319603,5.538148803250411
2012-05-23 17:45:00,0.075,1.366,1.7503143809999995,0.3149095936359987,0.41,0.7806493257391431,5.558148803250411
2012-05-22 21:30:00,0.075,1.428,1.7995395809999994,0.3226051588927495,0.42,0.7933160971788207,5.578148803250412
2012-05-23 18:00:00,0.075,1.49,1.8487647809999999,0.33024573764930387,0.43,0.8057930958544312,5.598148803250411
2012-05-23 17:00:00,0.075,1.553,1.8979899809999994,0.33783191714358063,0.44,0.8180864128686868,5.618148803250411
2012-05-23 15:30:00,0.075,1.617,1.9472151809999994,0.3453642762811481,0.45,0.8302017987368294,5.638148803250411
2012-05-23 16:45:00,0.075,1.681,1.9964403809999995,0.35284338578248653,0.46,0.8421446909808267,5.658148803250412
2012-05-23 22:15:00,0.075,1.747,2.0456655809999993,0.360269808327139,0.47,0.8539202388355113,5.678148803250411
2013-03-11 03:45:00,0.075,1.813,2.0948907809999993,0.3676440986948261,0.48,0.8655333254325841,5.698148803250411
2012-05-23 19:45:00,0.075,1.88,2.1441159809999997,0.37496680390359965,0.49,0.8769885877744346,5.71814880325041
2012-05-23 16:30:00,0.075,1.948,2.1933411809999996,0.38223846334510664,0.5,0.8882904347648071,5.738148803250411
2013-04-23 16:45:00,0.075,2.017,2.2425663809999996,0.38945960891703524,0.51,0.8994430635257369,5.758148803250411
2012-09-02 03:30:00,0.075,2.087,2.2917915809999996,0.39663076515280926,0.52,0.9104504741985996,5.778148803250411
2012-09-02 03:45:00,0.075,2.157,2.3410167809999995,0.4037524493485987,0.53,0.921316483400458,5.7981488032504105
