,index,start,end,duration (hrs),sep from
77,77,2013-04-11 21:15:00,2013-04-11 23:30:00,2.25,LBJ PT
78,78,2013-04-16 09:15:00,2013-04-16 23:45:00,14.5,LBJ PT
79,79,2013-04-17 00:15:00,2013-04-17 22:45:00,22.5,LBJ PT
80,80,2013-04-18 00:45:00,2013-04-18 08:15:00,7.5,LBJ PT
81,81,2013-04-18 15:15:00,2013-04-18 18:45:00,3.5,LBJ PT
82,82,2013-04-18 19:30:00,2013-04-19 02:15:00,6.75,LBJ PT
83,83,2013-04-20 03:15:00,2013-04-21 01:15:00,22.0,LBJ PT
84,84,2013-04-23 11:00:00,2013-04-24 16:30:00,29.5,LBJ PT
85,85,2013-04-28 10:15:00,2013-04-28 17:45:00,7.5,LBJ PT
86,86,2013-04-28 20:30:00,2013-04-29 08:45:00,12.25,LBJ PT
87,87,2013-04-30 14:45:00,2013-05-01 23:15:00,32.5,LBJ PT
88,88,2013-05-11 14:30:00,2013-05-12 00:00:00,9.5,LBJ PT
89,89,2013-05-30 02:45:00,2013-05-30 08:30:00,5.75,LBJ PT
90,90,2013-06-05 01:00:00,2013-06-06 12:45:00,35.75,LBJ PT
91,91,2013-06-09 08:45:00,2013-06-09 16:15:00,7.5,LBJ PT
92,92,2013-06-16 03:00:00,2013-06-16 15:45:00,12.75,LBJ PT
93,93,2013-06-24 01:00:00,2013-06-24 17:30:00,16.5,LBJ PT
94,94,2013-06-25 07:45:00,2013-06-25 23:30:00,15.75,LBJ PT
95,95,2013-07-02 06:30:00,2013-07-02 16:45:00,10.25,LBJ PT
96,96,2013-07-13 10:45:00,2013-07-14 03:30:00,16.75,LBJ PT
97,97,2013-07-15 21:15:00,2013-07-16 06:30:00,9.25,LBJ PT
98,98,2013-07-16 23:15:00,2013-07-17 13:30:00,14.25,LBJ PT
99,99,2013-07-17 21:45:00,2013-07-18 19:15:00,21.5,LBJ PT
100,100,2013-07-19 00:15:00,2013-07-20 02:45:00,26.5,LBJ PT
101,101,2013-07-20 03:45:00,2013-07-21 03:15:00,23.5,LBJ PT
102,102,2013-07-24 08:15:00,2013-07-24 16:30:00,8.25,LBJ PT
103,103,2013-07-27 22:00:00,2013-07-28 12:00:00,14.0,LBJ PT
104,104,2013-08-03 14:30:00,2013-08-04 00:00:00,9.5,LBJ PT
105,105,2013-08-05 19:00:00,2013-08-06 18:00:00,23.0,LBJ PT
106,106,2013-08-09 20:30:00,2013-08-11 08:15:00,35.75,LBJ PT
107,107,2013-08-15 19:00:00,2013-08-16 01:45:00,6.75,LBJ PT
108,108,2013-08-16 06:15:00,2013-08-17 04:00:00,21.75,LBJ PT
